imo,name_owner_builder_raw,capacity_cm,cargo_type,vessel_type,propulsion_type,delivery_year
9976812,Al Qaiyyah K3 Consortium Samsung Heavy Industries,174000,Membrane,Conventional,ME-GA,2024
9086734,Al Rayyan J4 Consortium Kawasaki,137400,Spherical,Conventional,Steam,1997
9397339,Al Rekayyat Nakilat HD Hyundai,216300,Membrane,Q-Flex,SSD,2009
9337951,"Al Ruwais Commerz Real, Nakilat, PRONAV Hanwha Ocean",210200,Membrane,Q-Flex,SSD,2007
9397341,Al Sadd Nakilat Hanwha Ocean,210200,Membrane,Q-Flex,SSD,2029
9680190,Asia Venture Chevron Samsung,160000,Membrane,Conventional,DFDE,2017
9606948,Asia Vision Chevron Samsung,160000,Membrane,Conventional,DFDE,2014
9884021,Asklipios Capital Gas HD Hyundai,174000,Membrane,Conventional,X-DF,2021
9957725,Assos (ex-3341) Capital Gas HD Hyundai,174000,Membrane,Conventional,ME-GA,2024
9892298,Asterix I Capital Gas HD Hyundai,174000,Membrane,Conventional,X-DF,2023
9972672,Athos LNG (ex-Samsung 2635) TMS Cardiff Gas Samsung,174000,Membrane,Conventional,ME-GA,2024
9862920,Attalos Capital Gas HD Hyundai,174000,Membrane,Conventional,X-DF,2021
9943853,Axios II Capital Gas HD Hyundai,174000,Membrane,Conventional,ME-GA,2024
9401295,Barcelona Knutsen Knutsen OAS Hanwha Ocean,173400,Membrane,Conventional,DFDE,2009
9713105,Bauhinia Spirit MOL Hanwha Ocean,263000,Membrane,FSRU,DFDE,2017
9613159,"Beidou Star MOL, China LNG Hudong- Zhonghua",171800,Membrane,Conventional,SSD,2015
9256597,Berge Arzew BW Hanwha Ocean,138000,Membrane,Conventional,Steam,2004
9236432,Bilbao Knutsen Knutsen OAS IZAR,138000,Membrane,Conventional,Steam,2004
9691137,Bishu Maru Trans Pacific Shipping Kawasaki,164700,Spherical,Conventional,Steam,2017
9845788,Bonito LNG TMS Cardiff Gas HD Hyundai,174000,Membrane,Conventional,X-DF,2020
9768394,Boris Davydov Sovcomflot Hanwha Ocean,172000,Membrane,,DFDE,2018
9768368,Boris Vilkitsky Sovcomflot Hanwha Ocean,172000,Membrane,,DFDE,2017
9766542,British Achiever BP Hanwha Ocean,173400,Membrane,Conventional,ME-GI,2018
9766554,British Contributor BP Hanwha Ocean,173400,Membrane,Conventional,ME-GI,2018
9766566,British Listener BP Hanwha Ocean,173400,Membrane,Conventional,ME-GI,2019
9766578,British Mentor BP Hanwha Ocean,173400,Membrane,Conventional,ME-GI,2019
9766530,British Partner BP Hanwha Ocean,173400,Membrane,Conventional,ME-GI,2018
9766580,British Sponsor BP Hanwha Ocean,173400,Membrane,Conventional,ME-GI,2019
9085651,Broog J4 Consortium Mitsui,137500,Spherical,Conventional,Steam,1998
9976824,Bu Fintas K3 Consortium Samsung,174000,Membrane,Conventional,ME-GI,2024
9388833,Bu Samra Nakilat Samsung,266000,Membrane,Q-Max,SSD,2008
9796793,"Bushu Maru NYK Line, JERA Mitsubishi",180000,Spherical,Conventional,,2019
9368302,BW Batangas BW Hanwha Ocean,162400,Membrane,FSRU,DFDE,2009
9230062,"BW Boston BW, Total Hanwha Ocean",138000,Membrane,Conventional,Steam,2003
9368314,BW Brussels BW Hanwha Ocean,162500,Membrane,Conventional,DFDE,2009
9896933,BW Cassia BW Hanwha Ocean,174000,Membrane,Conventional,ME-GI,2022
9413327,BW Clear Sky BW Hanwha Ocean,173000,Membrane,Conventional,DFDE,2011
9383900,BW ENN Crystal Sky BW Hanwha Ocean,173000,Membrane,Conventional,DFDE,2011
9896921,BW ENN Snow Lotus BW Hanwha Ocean,174000,Membrane,Conventional,ME-GI,2022
9873852,BW Helios BW Hanwha Ocean,174000,Membrane,Conventional,ME-GI,2021
9724946,"BW Integrity BW, MOL Samsung",173400,Membrane,FSRU,DFDE,2017
9873840,BW Lesmes BW Hanwha Ocean,174000,Membrane,Conventional,ME-GI,2021
9758076,BW Lilac BW Hanwha Ocean,173400,Membrane,Conventional,ME-GI,2018
9792591,BW Magna BW Hanwha Ocean,173400,Membrane,FSRU,DFDE,2019
9850666,BW Magnolia BW Hanwha Ocean,173400,Membrane,Conventional,ME-GI,2020
9792606,"BW Pavilion Aranda BW, Pavilion LNG Hanwha Ocean",173400,Membrane,Conventional,ME-GI,2019
9850678,Bw Pavilion Aranthera BW Hanwha Ocean,170800,Membrane,Conventional,ME-GI,2020
9337963,"Al Safliya Commerz Real, Nakilat, PRONAV Hanwha Ocean",210200,Membrane,Q-Flex,SSD,2007
9360855,"Al Sahla NYK Line, K Line, MOL, lino, Mitsui, Nakilat HD Hyundai",216200,Membrane,Q-Flex,SSD,2008
9388821,Al Samriya Nakilat Hanwha Ocean,263300,Membrane,Q-Max,SSD,2009
9360893,"Al Shamal Nakilat, Seapeak Samsung",217000,Membrane,Q-Flex,SSD,2008
9360831,Al Sheehaniya Nakilat Hanwha Ocean,210200,Membrane,Q-Flex,SSD,2009
9965423,Al Shelila (ex- Jiangnan H2700) ADNOC L&S Jiangnan,174000,Membrane,Conventional,X-DF,2024
9298399,"Al Thakhira K Line, Qatar Shpg. Samsung",145700,Membrane,Conventional,Steam,2005
9360843,"Al Thumama NYK Line, K Line, MOL, lino, Mitsui, Nakilat HD Hyundai",216200,Membrane,Q-Flex,SSD,2008
9360867,"Al Utouriya NYK Line, K Line, MOL, lino, Mitsui, Nakilat HD Hyundai",215000,Membrane,Q-Flex,SSD,2008
9085625,Al Wajbah J4 Consortium Mitsubishi,137300,Spherical,Conventional,Steam,1997
9086746,Al Wakrah J4 Consortium Kawasaki,137600,Spherical,Conventional,Steam,1998
9085649,Al Zubarah J4 Consortium Mitsui,137600,Spherical,Conventional,Steam,1996
9390185,Alexandroupolis GasLog Hanjin H.I.,153000,Membrane,FSRU,DFDE,2010
9904194,Alicante Knutsen Knutsen OAS HD Hyundai,174000,Membrane,Conventional,X-DF,2022
9343106,Alto Acrux Karadeniz Mitsubishi Heavy Industries,147798,Spherical,Conventional,Steam,2008
9682552,Amadi Brunei Gas Carriers HD Hyundai,154800,Membrane,Conventional,DFDE,2015
9496317,Amali Brunei Gas Carriers Hanwha Ocean,147000,Membrane,Conventional,DFDE,2011
9661869,Amani Brunei Gas Carriers HD Hyundai,154800,Membrane,Conventional,DFDE,2014
9845776,Amberjack LNG TMS Cardiff Gas HD Hyundai,174000,Membrane,Conventional,X-DF,2020
9943841,Amore Mio I Capital Gas HD Hyundai,174000,Membrane,Conventional,ME-GA,2023
9317999,Amur River CDB Leasing HD Hyundai,149700,Membrane,Conventional,Steam,2008
9957737,Apostolos Capital Gas HD Hyundai,174000,Membrane,Conventional,ME-GA,2024
9645970,Arctic Aurora CDB Leasing HD Hyundai,155000,Membrane,Conventional,DFDE,2013
9276389,"Arctic Discoverer K Line, Equinor, Mitsui, lino Mitsui",142600,Spherical,Conventional,Steam,2006
9284192,Arctic Lady Hoegh Mitsubishi,148000,Spherical,Conventional,Steam,2006
9271248,"Arctic Princess Hoegh, MOL, Equinor Mitsubishi",148000,Spherical,Conventional,Steam,2006
9275335,"Arctic Voyager K Line, Equinor, Mitsui, lino Kawasaki",142800,Spherical,Conventional,Steam,2006
9862918,Aristarchos Capital Gas HD Hyundai,174000,Membrane,Conventional,X-DF,2021
9862906,Aristidis I Capital Gas HD Hyundai,174000,Membrane,Conventional,X-DF,2021
9862891,Aristos I Capital Gas HD Hyundai,174000,Membrane,Conventional,X-DF,2020
9496305,Arkat Brunei Gas Carriers Hanwha Ocean,147000,Membrane,FSU,DFDE,1985
9319404,Arrow Spirit Jovo Group Imabari,155000,Membrane,Conventional,Steam,2008
9377547,"Aseem MOL, NYK Line, K Line, SCI, Nakilat, Petronet Samsung",155000,Membrane,Conventional,DFDE,2009
9610779,Asia Endeavour Chevron Samsung,160000,Membrane,Conventional,DFDE,2015
9606950,Asia Energy Chevron Samsung,160000,Membrane,Conventional,DFDE,2014
9610767,Asia Excellence Chevron Samsung,160000,Membrane,Conventional,DFDE,2015
9680188,Asia Integrity Chevron Samsung,160000,Membrane,Conventional,DFDE,2017
9323687,Clean Energy CDB Leasing HD Hyundai,149700,Membrane,Conventional,Steam,2007
9943504,Clean Future (ex-3293) Dynagas HD Hyundai,200000,Membrane,Conventional,ME-GA,2024
9655444,Clean Horizon Dynagas HD Hyundai,162000,Membrane,Conventional,DFDE,2015
9637492,Clean Ocean Dynagas HD Hyundai,162000,Membrane,Conventional,DFDE,2014
9637507,Clean Planet Dynagas HD Hyundai,162000,Membrane,Conventional,DFDE,2014
9943475,Clean Resolution Dynagas HD Hyundai,200000,Membrane,Conventional,ME-GA,2023
9655456,Clean Vision Dynagas HD Hyundai,162000,Membrane,Conventional,DFDE,2016
9943499,Clean Vitality Dynagas HD Hyundai,200000,Membrane,Conventional,ME-GA,2024
9869306,Cobia LNG TMS Cardiff Gas HD Hyundai,174000,Membrane,Conventional,X-DF,2021
9307205,Condor LNG TMS Cardiff Gas Samsung,145000,Membrane,Conventional,Steam,2006
9861031,Cool Discoverer Thenamaris HD Hyundai,174000,Membrane,Conventional,X-DF,2020
9640023,Cool Explorer Thenamaris Samsung,160000,Membrane,Conventional,DFDE,2015
9869265,Cool Racer Thenamaris HD Hyundai,174000,Membrane,Conventional,ME-GI,2021
9333606,Cool Ranger BP HD Hyundai,155000,Membrane,Conventional,DFDE,2008
9333591,Cool Rider BP HD Hyundai,155000,Membrane,Conventional,DFDE,2007
9333618,Cool Rover BP HD Hyundai,155000,Membrane,Conventional,DFDE,2008
9636797,Cool Runner Thenamaris Samsung,160000,Membrane,Conventional,DFDE,2014
9636785,Cool Voyager Thenamaris Samsung,160000,Membrane,Conventional,DFDE,2013
9693719,Coral Encanto Anthony Veder Ningbo Xinle Shipbuilding Co Ltd,30000,,,DFDE,2020
9955521,Coral Evolutionist Anthony Veder HD Hyundai,30000,,,X-DF,2023
9919890,Coral Nordic Anthony Veder Jiangnan,30000,,,X-DF,2022
9636711,Corcovado LNG TMS Cardiff Gas Hanwha Ocean,160100,Membrane,Conventional,DFDE,2014
9491812,"Cubal Mitsui, NYK Line, Seapeak Samsung",160000,Membrane,Conventional,DFDE,2012
9376294,"Cygnus Passage TEPCO, NYK Line, Mitsubishi Mitsubishi",147000,Spherical,Conventional,Steam,2009
9308481,Dapeng Moon China LNG Ship Mgmt Hudong- Zhonghua,147200,Membrane,Conventional,Steam,2008
9937907,Dapeng Princess Shenzhen Gas Hudong- Zhonghua,80000,Membrane,,X-DF,2023
9369473,Dapeng Star China LNG Ship Mgmt Hudong- Zhonghua,147600,Membrane,Conventional,Steam,2009
9308479,Dapeng Sun China LNG Ship Mgmt Hudong- Zhonghua,147200,Membrane,Conventional,Steam,2008
9874454,"Diamond Gas Crystal MISC, Mitsubishi, NYK Line HD Hyundai",174000,Membrane,Conventional,X-DF,2021
9862487,Diamond Gas Metropolis NYK Line HD Hyundai,174000,Membrane,Conventional,X-DF,2020
9779226,Diamond Gas Orchid NYK Line Mitsubishi,165000,Spherical,Conventional,,2018
9779238,Diamond Gas Rose NYK Line Mitsubishi,165000,Spherical,Conventional,,2018
9810020,Diamond Gas Sakura NYK Line Mitsubishi,165000,Spherical,Conventional,,2019
9874466,"Diamond Gas Victoria MISC, Mitsubishi, NYK Line, Toho LNG Shipping HD Hyundai",174000,Membrane,Conventional,X-DF,2021
9250713,"Disha MOL, NYK Line, K Line, SCI, Nakilat, Petronet Hanwha Ocean",138100,Membrane,Conventional,Steam,2004
9085637,Doha J4 Consortium Mitsubishi,137300,Spherical,Conventional,Steam,1999
9640645,"BW Pavilion Leeara BW, Pavilion LNG HD Hyundai",162000,Membrane,Conventional,DFDE,2015
9640437,"BW Pavilion Vanda BW, Pavilion LNG HD Hyundai",162000,Membrane,Conventional,DFDE,2015
9684495,BW Singapore Snam Samsung,170200,Membrane,FSRU,DFDE,2015
9236626,"BW Tatiana (ex-Gallina) BW, Invenenergy Investment Company Mitsubishi",136600,Spherical,FSRU,Steam,2002
9758064,BW Tulip BW Hanwha Ocean,173400,Membrane,Conventional,ME-GI,2018
9246578,Cadiz Knutsen Knutsen OAS IZAR,138000,Membrane,Conventional,Steam,2004
9390680,"Cape Ann Hoegh, MOL, TLTC Samsung",145000,Membrane,FSRU,DFDE,2010
9742819,Castillo De Caldelas Elcano Imabari,178800,Membrane,Conventional,ME-GI,2018
9742807,Castillo De Merida Elcano Imabari,178800,Membrane,Conventional,ME-GI,2018
9433717,Castillo De Santisteban Elcano STX,173600,Membrane,Conventional,DFDE,2010
9236418,Castillo De Villalba Elcano IZAR,138200,Membrane,Conventional,Steam,2003
9864796,Celsius Canberra Celsius Shipping Samsung,180000,Membrane,Conventional,X-DF,2021
9878723,"Celsius Carolina Celsius Shipping, Basalt Samsung",180000,Membrane,Conventional,X-DF,2021
9878711,Celsius Charlotte Celsius Shipping Samsung,180000,Membrane,Conventional,X-DF,2021
9864784,"Celsius Copenhagen Celsius Shipping, Basalt Samsung",180000,Membrane,Conventional,X-DF,2020
9946829,Celsius Gandhinagar (2579) Celsius Shipping Samsung,180000,Membrane,Conventional,ME-GA,2024
9945435,Celsius Geneva Celsius Shipping Samsung,180000,Membrane,Conventional,ME-GA,2023
9945447,Celsius Giza Celsius Shipping Samsung,180000,Membrane,Conventional,ME-GA,2023
9945459,Celsius Glarus Celsius Shipping Samsung,180000,Membrane,Conventional,ME-GA,2024
9948736,Celsius Granada (2585) Celsius Shipping Samsung,180000,Membrane,Conventional,ME-GA,2024
9948724,Celsius Greenwich (ex-2584) Celsius Shipping Samsung,180000,Membrane,Conventional,ME-GA,2024
9672844,Cesi Beihai China Shipping Group Hudong- Zhonghua,174100,Membrane,Conventional,DFDE,2017
9672820,Cesi Gladstone Chuo Kaiun/Shinwa Chem. Hudong- Zhonghua,174100,Membrane,Conventional,DFDE,2016
9672818,Cesi Lianyungang China Shipping Group Hudong- Zhonghua,174100,Membrane,Conventional,DFDE,2018
9672832,Cesi Qingdao China Shipping Group Hudong- Zhonghua,174100,Membrane,Conventional,DFDE,2017
9694749,Cesi Tianjin China Shipping Group Hudong- Zhonghua,174100,Membrane,Conventional,DFDE,2017
9694751,Cesi Wenzhou China Shipping Group Hudong- Zhonghua,174100,Membrane,Conventional,DFDE,2018
9324344,"Cheikh Bouamama HYPROC, Sonatrach, Itochu, MOL Universal",75500,Membrane,Conventional,Steam,2008
9324332,"Cheikh El Mokrani HYPROC, Sonatrach, Itochu, MOL Universal",75500,Membrane,Conventional,Steam,2007
9737187,Christophe De Margerie Sovcomflot Hanwha Ocean,172000,Membrane,,DFDE,2016
9886732,Clean Cajun Dynagas HD Hyundai,200000,Membrane,Conventional,X-DF,2022
9886744,Clean Copano Dynagas HD Hyundai,200000,Membrane,Conventional,X-DF,2022
9943487,Clean Destiny Dynagas HD Hyundai,200000,Membrane,Conventional,ME-GA,2023
9736092,"Energy Liberty MOL, Tokyo Gas Japan Marine",165000,Prismatic,Conventional,DFDE,2018
9355264,"Energy Navigator MOL, Tokyo Gas Kawasaki",147000,Spherical,Conventional,Steam,2008
9854612,Energy Pacific Alpha Gas Hanwha Ocean,173400,Membrane,Conventional,ME-GI,2020
9274226,Energy Progress MOL Kawasaki,147000,Spherical,Conventional,Steam,2006
9269207,Energy Spirit Jovo Group Chantiers de l'Atlantique,74500,Membrane,Conventional,Steam,2006
9758844,"Energy Universe MOL, Tokyo Gas Japan Marine",165000,Prismatic,Conventional,DFDE,2019
9749609,Enshu Maru K Line Kawasaki,164700,Spherical,Conventional,Steam,2018
9859820,Ertugrul Gazi Turkish Petroleum Corp HD Hyundai,170000,Membrane,FSRU,DFDE,2021
9666560,"Esshu Maru MOL, Tokyo Gas Mitsubishi",153000,Spherical,Conventional,Steam,2014
9236614,Etyfa Prometheas Natural Gas Infrastructure Company of Cyprus Mitsubishi,135000,Spherical,FSRU,Steam,2002
9230050,Excalibur Exmar Hanwha Ocean,138000,Membrane,FSU,Steam,2002
9820843,Excelerate Sequoia Excelerate Energy Hanwha Ocean,173400,Membrane,FSRU,DFDE,2020
9252539,Excellence Excelerate Energy Hanwha Ocean,138000,Membrane,FSRU,Steam,2005
9239616,Excelsior Excelerate Energy Hanwha Ocean,138000,Membrane,FSRU,Steam,2005
9444649,Exemplar Excelerate Energy Hanwha Ocean,150900,Membrane,FSRU,Steam,2010
9389643,Expedient Excelerate Energy Hanwha Ocean,150900,Membrane,FSRU,Steam,2010
9638525,Experience Excelerate Energy Hanwha Ocean,173400,Membrane,FSRU,DFDE,2014
9361079,Explorer Excelerate Energy Hanwha Ocean,150900,Membrane,FSRU,Steam,2008
9361445,Express Excelerate Energy Hanwha Ocean,150900,Membrane,FSRU,Steam,2009
9381134,"Exquisite Excelerate Energy, Nakilat Hanwha Ocean",150900,Membrane,FSRU,Steam,2009
9918157,Extremadura Knutsen Knutsen OAS HD Hyundai,174000,Membrane,Conventional,X-DF,2023
9768370,Fedor Litke LITKE Hanwha Ocean,172000,Membrane,,DFDE,2017
9918145,Ferrol Knutsen Knutsen OAS HD Hyundai,174000,Membrane,Conventional,X-DF,2023
9857377,Flex Amber Flex LNG HD Hyundai,174000,Membrane,Conventional,X-DF,2020
9851634,Flex Artemis Flex LNG Hanwha Ocean,173400,Membrane,Conventional,ME-GI,2020
9857365,Flex Aurora Flex LNG HD Hyundai,174000,Membrane,Conventional,X-DF,2020
9825427,Flex Constellation Flex LNG Hanwha Ocean,173400,Membrane,Conventional,ME-GI,2019
9825439,Flex Courageous Flex LNG Hanwha Ocean,173400,Spherical,Conventional,ME-GI,2019
9762261,Flex Endeavour Flex LNG Hanwha Ocean,173400,Membrane,Conventional,ME-GI,2018
9762273,Flex Enterprise Flex LNG Hanwha Ocean,173400,Membrane,Conventional,ME-GI,2018
9862308,Flex Freedom Flex LNG Hanwha Ocean,173400,Membrane,Conventional,ME-GI,2021
9709037,Flex Rainbow Flex LNG Samsung,174000,Membrane,Conventional,ME-GI,2018
9709025,Flex Ranger Flex LNG Samsung,174000,Membrane,Conventional,ME-GI,2018
9851646,Flex Resolute Flex LNG Hanwha Ocean,173400,Membrane,Conventional,ME-GI,2020
9862475,Flex Vigilant Flex LNG HD Hyundai,174000,Membrane,Conventional,X-DF,2021
9862463,Flex Volunteer Flex LNG HD Hyundai,174000,Membrane,Conventional,X-DF,2021
9360817,"Fraiha NYK Line, K Line, MOL, lino, Mitsui, Nakilat Hanwha Ocean",210100,Membrane,Q-Flex,SSD,2008
9253284,,137100,Spherical,FSRU,Steam,2004
9863182,Dorado LNG TMS Cardiff Gas Samsung,174000,Membrane,Conventional,X-DF,2020
9337975,"Duhail Commerz Real, Nakilat, PRONAV Hanwha Ocean",210200,Membrane,Q-Flex,SSD,2008
9265500,Dukhan J4 Consortium Mitsui,137500,Spherical,Conventional,Steam,2004
9216298,East Energy Nur Global Shipping HD Hyundai,137000,Spherical,Conventional,Steam,2002
9750696,Eduard Toll Seapeak Hanwha Ocean,172000,Membrane,,DFDE,2017
9334076,"Ejnan K Line, MOL, NYK Line, Mitsui, Nakilat Samsung",145000,Membrane,Conventional,Steam,1990
9884473,Elisa Aquila NYK Line HD Hyundai,174000,Membrane,Conventional,X-DF,2022
9980540,Elisa Ardea NYK Line HD Hyundai,174000,Membrane,Conventional,X-DF,2024
9852975,Elisa Larus GazOcean HD Hyundai,174000,Membrane,Conventional,X-DF,2020
9958640,Emei Cosco Shipping Energy Transportation Hudong- Zhonghua,174000,Membrane,Conventional,X-DF,2023
9626027,Energos Celsius Energos Samsung,160000,Membrane,FSRU,DFDE,2013
9624940,Energos Eskimo Energos Samsung,160000,Membrane,FSRU,DFDE,2014
9861811,Energos Force Energos Hudong- Zhonghua,174000,Membrane,FSRU,DFDE,2021
9303560,Energos Grand Energos Hanwha Ocean,145000,Membrane,Conventional,Steam,2005
9633991,Energos Igloo Energos Samsung,170000,Membrane,FSRU,DFDE,2014
9320374,Energos Maria Energos Hanwha Ocean,145000,Membrane,Conventional,Steam,2006
9785500,Energos Nanook Energos Samsung,170000,Membrane,FSRU,DFDE,2018
9624938,Energos Penguin Energos Samsung,160000,Membrane,Conventional,DFDE,2014
9861809,Energos Power Energos Hudong- Zhonghua,174000,Membrane,FSRU,DFDE,2021
9253715,Energos Princess Energos Hanwha Ocean,138000,Membrane,Conventional,Steam,2003
9256614,Energos Winter Energos Hanwha Ocean,138000,Membrane,FSRU,Steam,2004
9269180,Energy Advance Tokyo Gas Kawasaki,147000,Spherical,Conventional,Steam,2005
9649328,Energy Atlantic Alpha Gas STX,159700,Membrane,Conventional,DFDE,2015
9405588,"Energy Confidence NYK Line, Tokyo Gas Kawasaki",155000,Spherical,Conventional,Steam,2009
9854624,Energy Endeavour Alpha Gas Hanwha Ocean,173400,Membrane,Conventional,ME-GI,2021
9948695,Energy Endurance Alpha Gas HD Hyundai,174000,Membrane,Conventional,X-DF,2024
9540089,Energy Fidelity (ex-Jules Verne) Alpha Gas HD Hyundai,174000,Membrane,Conventional,X-DF,2023
9948700,Energy Fortitude (ex-Victor Hugo (8107) Alpha Gas HD Hyundai,174000,Membrane,Conventional,X-DF,2024
9245720,Energy Frontier Tokyo Gas Kawasaki,147000,Spherical,Conventional,Steam,2003
9752565,"Energy Glory NYK Line, Tokyo Gas Japan Marine",165000,Prismatic,Conventional,DFDE,2019
9483877,"Energy Horizon NYK Line, TLTC Kawasaki",177000,Spherical,Conventional,Steam,2011
9758832,"Energy Innovator MOL, Tokyo Gas Japan Marine",165000,Prismatic,Conventional,DFDE,2019
9859739,Energy Integrity Alpha Gas Hanwha Ocean,173400,Membrane,Conventional,ME-GI,2021
9881201,Energy Intelligence Alpha Gas Hanwha Ocean,173400,Membrane,Conventional,ME-GI,2021
9946374,Gordonwaters Knutsen Knutsen OAS HD Hyundai,174000,Membrane,Conventional,X-DF,2023
9315707,Grace Acacia NYK Line HD Hyundai,150000,Membrane,Conventional,Steam,2007
9315719,Grace Barleria NYK Line HD Hyundai,150000,Membrane,Conventional,Steam,2007
9323675,Grace Cosmos Sino Commerce Offshore HD Hyundai,150000,Membrane,Conventional,Steam,2008
9540716,Grace Dahlia NYK Line Kawasaki,177400,Spherical,Conventional,Steam,2013
9884174,Grace Emelia NYK Line HD Hyundai,174000,Membrane,Conventional,X-DF,2021
9903920,Grace Freesia NYK Line HD Hyundai,174000,Membrane,Conventional,X-DF,2022
9338955,"Grand Aniva NYK Line, Sovcomflot Mitsubishi",147000,Spherical,Conventional,Steam,2008
9332054,"Grand Elena NYK Line, Sovcomflot Mitsubishi",147000,Spherical,Conventional,Steam,2007
9338929,"Grand Mereya MOL, K Line, Primorsk Mitsui",147600,Spherical,Conventional,Steam,2008
9922988,Grazyna Gesicka Knutsen OAS HD Hyundai,174000,Membrane,Conventional,X-DF,2023
9961477,Greenergy Ocean (1880A) MOL Hudong- Zhonghua,174000,Membrane,Conventional,X-DF,2024
9961489,Greenergy Pearl (ex-Hudong- Zhonghua H1881A) MOL Hudong- Zhonghua,174000,Membrane,Conventional,X-DF,2024
9878888,Gui Ying CSSC Shpg Leasing Hudong- Zhonghua,174000,Membrane,Conventional,X-DF,2021
9696266,Hai Yang Shi You 301 CNOOC Jiangnan,30000,Membrane,,DFDE,2015
9872999,Hellas Athina Latsco (London) HD Hyundai,174000,Membrane,Conventional,X-DF,2021
9872987,Hellas Diana Latsco (London) HD Hyundai,174000,Membrane,Conventional,X-DF,2021
9155078,HL Muscat H-Line Shipping Hanjin H.I.,138000,Membrane,Conventional,Steam,1999
9176008,HL Ras Laffan H-Line Shipping Hanjin H.I.,138000,Membrane,Conventional,Steam,2000
9176010,HL Sur H-Line Shipping Hanjin H.I.,138300,Membrane,Conventional,Steam,2000
9953262,Hlaitan (ex-H1792A) MOL Hudong- Zhonghua,174000,Membrane,Conventional,X-DF,2024
9941013,HLS Bilbao Hyundai LNG Shipping Hanwha Ocean,174000,Membrane,Conventional,ME-GI,2024
9947691,HLS Cartagena (2522) Hyundai LNG Shipping Hanwha Ocean,174000,Membrane,Conventional,ME-GI,2024
9780354,Hoegh Esperanza Hoegh HD Hyundai,170000,Membrane,FSRU,DFDE,2018
9653678,Hoegh Gallant Hoegh HD Hyundai,170100,Membrane,FSRU,DFDE,2014
9820013,Hoegh Galleon Hoegh Samsung,170000,Membrane,FSRU,DFDE,2019
